name,content,price
HP 빅터스 15-fb2061AX,"AI 노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 39.62cm(15.6인치)/1920x1080(FHD)/300nit/주사율: 144Hz/
CPU AMD/라이젠5(Zen4)/8645HS (4.3GHz)/헥사(6)코어/
NPU AMD 라이젠 AI/16TOPS/
램 DDR5/램 용량: 8GB/5600MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4060/TGP: 75W/VRAM:8GB/
저장장치 M.2(NVMe)/512GB/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠/
단자 USB-C: 1개/USB-A: 2개/SD카드/
파워 배터리: 70Wh/어댑터: 200W/전원: DC/
주요제원 두께: 23.5mm/무게: 2.29kg/쿨링팬: 2개/색상: 다크실버","1,099,000"
HP 15s-fq5304TU,"노트북/운영체제(OS): 미포함(프리도스)/용도: 사무/인강용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/250nit/
CPU 인텔/코어i5-12세대/i5-1235U (1.3GHz)/10코어(2P+8E)/
램 DDR4/램 용량: 16GB/3200MHz/램 교체: 가능/
그래픽 내장그래픽/Iris Xe/
저장장치 M.2(NVMe)/512GB/
네트워크 무선랜: 802.11ac(Wi-Fi 5)/
영상입출력 HDMI/웹캠(HD)/
단자 USB-C: 1개/USB-A: 2개/SD카드/
파워 배터리: 41Wh/어댑터: 45W/전원: DC/
주요제원 두께: 17.9mm/무게: 1.69kg/색상: 화이트","597,000"
HP 15s-fq5304TU WIN11,"노트북/운영체제(OS): 윈도우11(설치)/용도: 사무/인강용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/250nit/
CPU 인텔/코어i5-12세대/i5-1235U (1.3GHz)/10코어(2P+8E)/
램 DDR4/램 용량: 16GB/3200MHz/램 교체: 가능/
그래픽 내장그래픽/Iris Xe/
저장장치 M.2(NVMe)/512GB/
네트워크 무선랜: 802.11ac(Wi-Fi 5)/
영상입출력 HDMI/웹캠(HD)/
단자 USB-C: 1개/USB-A: 2개/SD카드/
파워 배터리: 41Wh/어댑터: 45W/전원: DC/
주요제원 두께: 17.9mm/무게: 1.69kg/색상: 화이트","576,370"
HP 프로북 460 G11 A9MR1PT,"AI 노트북/운영체제(OS): 미포함(프리도스)/용도: 사무/인강용/
화면정보 40.6cm(16인치)/1920x1200(WUXGA)/300nit/
CPU 인텔/코어 울트라7/155H (4.8GHz)/16코어(6P+8E+2LE)/
NPU 인텔 AI Boost/11TOPS/
램 DDR5/램 용량: 8GB/램 교체: 가능/
그래픽 내장그래픽/Arc/8core/
저장장치 M.2(NVMe)/512GB/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠/
단자 USB-C: 2개/USB-A: 2개/
파워 배터리: 56Wh/어댑터: 65W/전원: USB-PD/최대13시간/
주요제원 두께: 10.9mm/무게: 1.748kg/색상: 실버","984,000"
HP 파빌리온 에어로 13-bg0026AU,"AI 노트북/운영체제(OS): 윈도우11홈/용도: 사무/인강용, 휴대용/
화면정보 33.8cm(13.3인치)/2560x1600(WQXGA)/400nit/
CPU AMD/라이젠7(Zen4)/8840U (3.3GHz)/옥타(8)코어/
NPU AMD 라이젠 AI/16TOPS/
램 LPDDR5x(온보드)/램 용량: 16GB/6400MHz/램 교체: 불가능/
그래픽 내장그래픽/Radeon 780M/12core/
저장장치 M.2(NVMe)/1TB/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠/
단자 USB-C: 2개/USB-A: 2개/
파워 배터리: 43Wh/어댑터: 65W/전원: USB-PD/
주요제원 두께: 17.4mm/무게: 995g/색상: 블루","1,270,000"
HP 다나와인증 프로북 440 G7,"중고(다나와인증)/노트북/운영체제(OS): 윈도우10/용도: 사무/인강용/
화면정보 36.8cm(13.9인치)/
CPU 인텔/코어i5-10세대/
램 램 용량: 8GB/
그래픽 내장그래픽/
저장장치 SSD/240GB/
네트워크 무선랜: 지원/유선랜: 지원/
영상입출력 HDMI/웹캠/
단자 USB-C: 1개/USB-A: 3개/SD카드/
파워 전원: DC/
주요제원 무게: 1.55kg","470,000"
HP Z북 Power G10 7C3M6AV,"노트북/운영체제(OS): 윈도우11프로/용도: 그래픽작업용/
화면정보 39.62cm(15.6인치)/1920x1080(FHD)/400nit/
CPU 인텔/코어i9-13세대/i9-13900H (2.6GHz)/14코어(6P+8E)/
램 DDR5/램 용량: 16GB/5200MHz/램 교체: 가능/
그래픽 외장그래픽/RTX 2000 Ada/VRAM:8GB/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠(HD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-A: 3개/
파워 배터리: 83Wh/어댑터: 150W/전원: USB-PD(+DC)/
주요제원 두께: 22.8mm/무게: 2.01kg/색상: 그레이","3,098,990"
HP 15-fc0219AU,"노트북/운영체제(OS): 미포함(프리도스)/용도: 사무/인강용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/300nit/
CPU AMD/라이젠5(Zen3)/7430U (2.3Hz)/헥사(6)코어/
램 DDR4/램 용량: 16GB/3200MHz/
그래픽 내장그래픽/Radeon Graphics/7core/
저장장치 M.2(NVMe)/512GB/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/
영상입출력 HDMI/웹캠/
단자 USB-C: 1개/USB-A: 2개/
파워 배터리: 41Wh/어댑터: 45W/전원: DC/
주요제원 두께: 18.6mm/무게: 1.59kg/색상: 블랙","509,000"
HP 엘리트북 635 에어로 G11 AV0X4PT,"AI 노트북/운영체제(OS): 윈도우11프로/용도: 사무/인강용, 휴대용/
화면정보 33.8cm(13.3인치)/2560x1600(WQXGA)/400nit/주사율: 60Hz/
CPU AMD/라이젠7(Zen4)/8840HS (3.3GHz)/옥타(8)코어/
NPU AMD 라이젠 AI/16TOPS/
램 LPDDR5(온보드)/램 용량: 32GB/6400MHz/램 교체: 불가능/
그래픽 내장그래픽/Radeon 780M/12core/
저장장치 M.2(NVMe)/1TB/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠/
단자 USB-C: 2개/USB-A: 2개/
파워 배터리: 43Wh/어댑터: 65W/전원: USB-PD/
주요제원 두께: 15.1mm/무게: 990g/색상: 실버","1,829,000"
HP 오멘 16 슬림 u1032TX,"노트북/운영체제(OS): 윈도우11홈/용도: 게임용, 그래픽작업용/
화면정보 40.6cm(16인치)/2560x1600(WQXGA)/400nit/주사율: 240Hz/
CPU 인텔/코어i9-14세대/i9-14900HX (5.8GHz)/24코어(8P+16E)/
램 DDR5/램 용량: 32GB/5600MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4060/TGP: 130W/VRAM:8GB/논 옵티머스/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 1개/
네트워크 무선랜: 802.11be(Wi-Fi 7)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 2개(USB-C겸용)/USB-A: 2개/
파워 배터리: 97Wh/어댑터: 230W/전원: DC/
주요제원 두께: 19.9mm/무게: 2.18kg/쿨링팬: 2개/색상: 화이트","2,740,000"
