name,content,price
GIGABYTE AORUS 16X ASG-53KR,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 40.8cm(16인치)/2560x1600(WQXGA)/400nit/주사율: 165Hz/
CPU 인텔/코어i7-14세대/i7-14650HX (5.2GHz)/16코어(8P+8E)/
램 DDR5/램 용량: 16GB/5600MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4070/TGP: 140W/VRAM:8GB/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 2개/
네트워크 무선랜: 802.11be(Wi-Fi 7)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-C: 1개/USB-A: 2개/MicroSD카드/
파워 배터리: 99Wh/어댑터: 240W/전원: USB-PD(+DC)/
주요제원 두께: 27mm/무게: 2.3kg/쿨링팬: 2개/색상: 그레이","2,087,120"
GIGABYTE AORUS 16X ASG-53KR WIN11 64GB램,"노트북/운영체제(OS): 윈도우11(설치)/용도: 게임용, 그래픽작업용/
화면정보 40.8cm(16인치)/2560x1600(WQXGA)/400nit/주사율: 165Hz/
CPU 인텔/코어i7-14세대/i7-14650HX (5.2GHz)/16코어(8P+8E)/
램 DDR5/램 용량: 64GB/5600MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4070/TGP: 140W/VRAM:8GB/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 2개/
네트워크 무선랜: 802.11be(Wi-Fi 7)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-C: 1개/USB-A: 2개/MicroSD카드/
파워 배터리: 99Wh/어댑터: 240W/전원: USB-PD(+DC)/
주요제원 두께: 27mm/무게: 2.3kg/쿨링팬: 2개/색상: 그레이","2,480,000"
GIGABYTE AORUS 17X ZG,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율: 240Hz/
CPU 인텔/코어i9-14세대/i9-14900HX (5.8GHz)/24코어(8P+16E)/
램 DDR5/램 용량: 32GB/5600MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4090/TGP: 175W/VRAM:16GB/
저장장치 M.2(NVMe)/2TB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 2.5기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/mini DP/웹캠(FHD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-A: 3개/
파워 배터리: 99Wh/어댑터: 330W/전원: USB-PD(+DC)/
주요제원 두께: 21.8mm/무게: 2.8kg/쿨링팬: 4개/색상: 블랙","4,999,000"
GIGABYTE G6X 9KG-43KR,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용/
화면정보 40.6cm(16인치)/1920x1200(WUXGA)/250nit/주사율: 165Hz/
CPU 인텔/코어i7-13세대/i7-13650HX (2.6GHz)/14코어(6P+8E)/
램 DDR5/램 용량: 16GB/4800MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4060/TGP: 105W/VRAM:8GB/MUX 스위치/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠(HD)/
단자 USB-C: 2개/USB-A: 2개/
파워 배터리: 73Wh/어댑터: 180W/전원: USB-PD(+DC)/
주요제원 두께: 28.9mm/무게: 2.5kg/쿨링팬: 2개/색상: 그레이","1,379,000"
GIGABYTE AERO 16 XE5 OLED PRO,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 40.8cm(16인치)/3840x2400(WQUXGA)/440nit/
CPU 인텔/코어i7-12세대/i7-12700H (2.3GHz)/14코어(6P+8E)/
램 DDR5/램 용량: 32GB/4800MHz/램 교체: 가능/
그래픽 외장그래픽/RTX3070 Ti/VRAM:8GB/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 DP Alt Mode/
단자 썬더볼트4: 2개(USB-C겸용)/USB-C: 1개/
파워 배터리: 99Wh/어댑터: 230W/전원: USB-PD(+DC)/
주요제원 두께: 22.4mm/무게: 2.3kg/색상: 실버","1,516,680"
GIGABYTE G6 MF-H2KR,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용/
화면정보 40.64cm(16인치)/1920x1200(WUXGA)/250nit/주사율: 165Hz/
CPU 인텔/코어i7-13세대/i7-13620H (2.4GHz)/10코어(6P+4E)/
램 DDR5/램 용량: 16GB/4800MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4050/TGP: 75W/VRAM:6GB/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 기가비트/
영상입출력 HDMI 2.1/mini DP/웹캠(HD)/
단자 USB-C: 2개/USB-A: 2개/MicroSD카드/
파워 배터리: 54Wh/어댑터: 150W/전원: DC/
주요제원 두께: 26mm/무게: 2.3kg/쿨링팬: 2개/색상: 그레이","1,449,000"
GIGABYTE AORUS 16X AKG-53KR,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 40.8cm(16인치)/2560x1600(WQXGA)/400nit/주사율: 165Hz/
CPU 인텔/코어i7-14세대/i7-14650HX (5.2GHz)/16코어(8P+8E)/
램 DDR5/램 용량: 16GB/5600MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4060/TGP: 140W/VRAM:8GB/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 2개/
네트워크 무선랜: 802.11be(Wi-Fi 7)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-C: 1개/USB-A: 2개/MicroSD카드/
파워 배터리: 99Wh/어댑터: 240W/전원: USB-PD(+DC)/
주요제원 두께: 27mm/무게: 2.3kg/쿨링팬: 2개/색상: 그레이","1,961,980"
GIGABYTE G5 KF5-H3KR,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 39.62cm(15.6인치)/1920x1080(FHD)/주사율: 144Hz/
CPU 인텔/코어i7-13세대/i7-13620H (2.4GHz)/10코어(6P+4E)/
램 DDR5/램 용량: 16GB/4800MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4060/TGP: 75W/VRAM:8GB/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 기가비트/
영상입출력 HDMI 2.1/mini DP/웹캠(HD)/
단자 USB-C: 2개/USB-A: 2개/MicroSD카드/
파워 배터리: 54Wh/전원: DC/
주요제원 두께: 22.7mm/무게: 2.08kg/쿨링팬: 2개/색상: 블랙","1,488,000"
GIGABYTE AORUS 16X AKG-53KR WIN11,"노트북/운영체제(OS): 윈도우11(설치)/용도: 게임용, 그래픽작업용/
화면정보 40.8cm(16인치)/2560x1600(WQXGA)/400nit/주사율: 165Hz/
CPU 인텔/코어i7-14세대/i7-14650HX (5.2GHz)/16코어(8P+8E)/
램 DDR5/램 용량: 16GB/5600MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4060/TGP: 140W/VRAM:8GB/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 2개/
네트워크 무선랜: 802.11be(Wi-Fi 7)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-C: 1개/USB-A: 2개/MicroSD카드/
파워 배터리: 99Wh/어댑터: 240W/전원: USB-PD(+DC)/
주요제원 두께: 27mm/무게: 2.3kg/쿨링팬: 2개/색상: 그레이","1,918,000"
GIGABYTE AERO 16 XE5 OLED,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 40.8cm(16인치)/3840x2400(WQUXGA)/440nit/
CPU 인텔/코어i7-12세대/i7-12700H (2.3GHz)/14코어(6P+8E)/
램 DDR5/램 용량: 16GB/4800MHz/램 교체: 가능/
그래픽 외장그래픽/RTX3070 Ti/VRAM:8GB/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 DP Alt Mode/
단자 썬더볼트4: 2개(USB-C겸용)/USB-C: 1개/
파워 배터리: 99Wh/어댑터: 230W/전원: USB-PD(+DC)/
주요제원 두께: 22.4mm/무게: 2.3kg/색상: 실버","1,499,000"
