name,content,price
MSI 씬 15 B13VE 16GB램 (SSD 512GB),"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율: 144Hz/
CPU 인텔/코어i7-13세대/i7-13620H (2.4GHz)/10코어(6P+4E)/
램 DDR4/램 용량: 16GB/3200MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4050/VRAM:6GB/
저장장치 M.2(NVMe)/512GB/저장 슬롯: 2개(M.2+SATA)/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 기가비트/
영상입출력 HDMI/DP Alt Mode/웹캠(HD)/
단자 USB-C: 1개/USB-A: 3개/
파워 배터리: 52.4Wh/어댑터: 120W/전원: DC/
주요제원 두께: 21.7mm/무게: 1.86kg/색상: 그레이","1,059,130"
ASUS 젠북 S 14 UX5406SA-PV153W (SSD 1TB),"AI 노트북/운영체제(OS): 윈도우11홈/용도: 사무/인강용, 휴대용/
화면정보 35.56cm(14인치)/2880x1800(WQXGA+)/400nit/주사율: 120Hz/
CPU 인텔/코어 울트라7(S2)/258V (4.8GHz)/옥타코어(4P+4E)/
NPU 인텔 AI Boost/47TOPS/
램 LPDDR5x(온보드)/램 용량: 32GB/램 교체: 불가능/
그래픽 내장그래픽/Arc 140V/8core/
저장장치 M.2(NVMe)/1TB/
네트워크 무선랜: 802.11be(Wi-Fi 7)/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 2개(USB-C겸용)/USB-A: 1개/
파워 배터리: 72Wh/어댑터: 65W/전원: USB-PD/최대27시간/
주요제원 두께: 12.9mm/무게: 1.2kg/쿨링팬: 2개/색상: 화이트","2,169,710"
MSI 모던시리즈 모던 14 C7M-R5 (SSD 512GB),"노트북/운영체제(OS): 미포함(프리도스)/용도: 사무/인강용, 휴대용/
화면정보 35.5cm(14인치)/1920x1080(FHD)/300nit/
CPU AMD/라이젠5(Zen3)/7530U (2.0Hz)/헥사(6)코어/
램 DDR4(온보드)/램 용량: 8GB/3200MHz/램 교체: 불가능/
그래픽 내장그래픽/Radeon Graphics/
저장장치 M.2(NVMe)/512GB/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/웹캠(HD)/
단자 USB-C: 1개/USB-A: 3개/MicroSD카드/
파워 배터리: 39.3Wh/어댑터: 65W/전원: USB-PD(+DC)/
주요제원 두께: 19.35mm/무게: 1.4kg/색상: 블랙","431,250"
ASUS TUF Gaming A14 FA401UV-RG025,"AI 노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용, 휴대용/
화면정보 35.56cm(14인치)/2560x1600(WQXGA)/400nit/주사율: 165Hz/
CPU AMD/라이젠7(Zen4)/8845HS (3.8GHz)/옥타(8)코어/
NPU AMD 라이젠 AI/16TOPS/
램 LPDDR5x(온보드)/램 용량: 32GB/7500MHz/램 교체: 불가능/
그래픽 외장그래픽/RTX4060/TGP: 100W/VRAM:8GB/MUX 스위치/
저장장치 M.2(NVMe)/512GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/HDMI 2.1/DP Alt Mode/웹캠(FHD)/
단자 USB-C: 2개/USB-A: 2개/MicroSD카드/
파워 배터리: 73Wh/어댑터: 200W/전원: USB-PD/
주요제원 두께: 19.9mm/무게: 1.44kg/쿨링팬: 2개/색상: 그레이","1,647,000"
MSI GF시리즈 Sword GF76 B13VFK,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용/
화면정보 43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율: 144Hz/
CPU 인텔/코어i7-13세대/i7-13620H (2.4GHz)/10코어(6P+4E)/
램 DDR5/램 용량: 16GB/램 교체: 가능/
그래픽 외장그래픽/RTX4060/TGP: 105W/VRAM:8GB/MUX 스위치/
저장장치 M.2(NVMe)/512GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/유선랜: 기가비트/
영상입출력 HDMI/DP Alt Mode/웹캠(HD)/
단자 USB-C: 1개/USB-A: 3개/
파워 배터리: 53.5Wh/전원: DC/
주요제원 두께: 25.2mm/무게: 2.6kg/쿨링팬: 2개/색상: 블랙","1,165,300"
에이서 프레데터 Helios Neo 16 PHN16-72-9234,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 40.8cm(16인치)/2560x1600(WQXGA)/500nit/주사율: 240Hz/
CPU 인텔/코어i9-14세대/i9-14900HX (5.8GHz)/24코어(8P+16E)/
램 DDR5/램 용량: 32GB/5600MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4070/TGP: 140W/VRAM:8GB/논 옵티머스/
저장장치 M.2(NVMe)/512GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 2.5기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 2개(USB-C겸용)/USB-A: 3개/MicroSD카드/
파워 배터리: 90Wh/어댑터: 330W/전원: USB-PD(+DC)/
주요제원 두께: 27.85mm/무게: 2.8kg/쿨링팬: 2개/색상: 블랙","1,876,960"
레노버 LEGION Pro 5i 16IRX9 i9 4070 Plus P3,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 40.6cm(16인치)/2560x1600(WQXGA)/500nit/주사율: 240Hz/
CPU 인텔/코어i9-14세대/i9-14900HX (5.8GHz)/24코어(8P+16E)/
램 DDR5/램 용량: 32GB/5600MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4070/TGP: 140W/VRAM:8GB/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠(FHD)/
단자 USB-C: 2개/USB-A: 4개/
파워 배터리: 80Wh/전원: USB-PD/
주요제원 두께: 26.9mm/무게: 2.5kg/쿨링팬: 2개/색상: 그레이","2,569,000"
ASUS TUF Gaming A15 FA507UV-HQ095,"AI 노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 39.62cm(15.6인치)/2560x1440(QHD)/300nit/주사율: 165Hz/
CPU AMD/라이젠7(Zen4)/8845HS (3.8GHz)/옥타(8)코어/
NPU AMD 라이젠 AI/16TOPS/
램 DDR5/램 용량: 16GB/5600MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4060/TGP: 140W/VRAM:8GB/MUX 스위치/
저장장치 M.2(NVMe)/512GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠(HD)/
단자 USB-C: 2개/USB-A: 2개/
파워 배터리: 90Wh/어댑터: 240W/전원: USB-PD(+DC)/
주요제원 두께: 24.9mm/무게: 2.2kg/쿨링팬: 2개/색상: 그레이","1,459,000"
ASUS 비보북 프로 15 OLED N6506MV-MA086,"AI 노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 39.62cm(15.6인치)/2880x1620/400nit/주사율: 120Hz/
CPU 인텔/코어 울트라7/155H (4.8GHz)/16코어(6P+8E+2LE)/
NPU 인텔 AI Boost/11TOPS/
램 DDR5/램 용량: 24GB/램 교체: 가능(1슬롯)/
그래픽 외장그래픽/RTX4060/TGP: 110W/VRAM:8GB/MUX 스위치/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 1개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠/
단자 썬더볼트4: 1개(USB-C겸용)/USB-C: 1개/USB-A: 2개/SD카드/
파워 배터리: 75Wh/어댑터: 200W/전원: USB-PD(+DC)/
주요제원 두께: 19.9mm/무게: 1.75kg/쿨링팬: 2개/색상: 그레이","1,649,000"
MSI 알파 17 C7VG-R9 QHD,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 43.9cm(17.3인치)/2560x1440(QHD)/300nit/주사율: 240Hz/
CPU AMD/라이젠9(Zen4)/7945HX (2.5Hz)/16코어/
램 DDR5/램 용량: 16GB/램 교체: 가능/
그래픽 외장그래픽/RTX4070/TGP: 140W/VRAM:8GB/MUX 스위치/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 2개/
네트워크 무선랜: 802.11be(Wi-Fi 7)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/mini DP/웹캠(HD)/
단자 USB-C: 1개/USB-A: 3개/
파워 배터리: 99.9Wh/어댑터: 240W/전원: USB-PD/
주요제원 두께: 25.9mm/무게: 2.8kg/쿨링팬: 2개/색상: 블랙","1,889,060"
