name,content,price
레노버 아이디어패드 Slim1-15ALC R5 WIN11 16GB램,"노트북/운영체제(OS): 윈도우11(설치)/용도: 사무/인강용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/220nit/
CPU AMD/라이젠5-4세대/5500U (2.1GHz)/헥사(6)코어/
램 DDR4/램 용량: 16GB/3200MHz/램 교체: 가능(1슬롯)/
그래픽 내장그래픽/Radeon Graphics/
저장장치 M.2(NVMe)/256GB/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/
영상입출력 HDMI/웹캠(HD)/
단자 USB-C: 1개/USB-A: 2개/SD카드/
파워 배터리: 42Wh/어댑터: 65W/전원: DC/
주요제원 두께: 17.9mm/무게: 1.6kg/색상: 그레이","433,000"
레노버 LEGION Pro 5i 16IRX9 i9 4070 Plus P3,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 40.6cm(16인치)/2560x1600(WQXGA)/500nit/주사율: 240Hz/
CPU 인텔/코어i9-14세대/i9-14900HX (5.8GHz)/24코어(8P+16E)/
램 DDR5/램 용량: 32GB/5600MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4070/TGP: 140W/VRAM:8GB/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠(FHD)/
단자 USB-C: 2개/USB-A: 4개/
파워 배터리: 80Wh/전원: USB-PD/
주요제원 두께: 26.9mm/무게: 2.5kg/쿨링팬: 2개/색상: 그레이","2,569,000"
레노버 LOQ 15IAX9E i5 4050,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/300nit/주사율: 144Hz/
CPU 인텔/코어i5-12세대/i5-12450HX (2.4GHz)/옥타(8)코어(4P+4E)/
램 DDR5/램 용량: 12GB/4800MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4050/TGP: 65W/VRAM:6GB/
저장장치 M.2(NVMe)/512GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/유선랜: 기가비트/
영상입출력 HDMI 2.1/웹캠(HD)/
단자 USB-C: 1개/USB-A: 2개/SD카드/
파워 배터리: 57Wh/전원: 전용포트/
주요제원 두께: 22.95mm/무게: 1.77kg/색상: 그레이","786,660"
레노버 아이디어패드 Slim3 15ABR8 82XM00ELKR WIN11,"노트북/운영체제(OS): 윈도우11(설치)/용도: 사무/인강용/
화면정보 39.62cm(15.6인치)/1920x1080(FHD)/300nit/
CPU AMD/라이젠5(Zen3)/7430U (2.3Hz)/헥사(6)코어/
램 DDR4(온보드)/램 용량: 16GB/3200MHz/램 교체: 불가능/
그래픽 내장그래픽/Radeon Graphics/7core/
저장장치 M.2(NVMe)/512GB/저장 슬롯: 1개/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/
영상입출력 HDMI/DP Alt Mode/웹캠(HD)/
단자 USB-C: 1개/USB-A: 2개/SD카드/
파워 배터리: 47Wh/전원: USB-PD(+DC)/최대12시간/
주요제원 두께: 17.9mm/무게: 1.7kg/색상: 그레이","559,000"
레노버 아이디어패드 Slim5 16IMH Ultra5 OLED,"AI 노트북/운영체제(OS): 미포함(프리도스)/용도: 사무/인강용/
화면정보 40.8cm(16인치)/2048x1280/400nit/주사율: 120Hz/
CPU 인텔/코어 울트라5/125H (4.5GHz)/14코어(4P+8E+2LE)/
NPU 인텔 AI Boost/11TOPS/
램 LPDDR5x(온보드)/램 용량: 16GB/7467MHz/램 교체: 불가능/
그래픽 내장그래픽/Arc/7core/
저장장치 M.2(NVMe)/512GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 USB-C: 2개/USB-A: 2개/MicroSD카드/
파워 배터리: 57Wh/어댑터: 65W/전원: USB-PD/최대8시간/
주요제원 두께: 16.9mm/무게: 1.89kg/색상: 그레이","809,760"
레노버 아이디어패드 Slim3 16ABR8 82XR008JKR,"노트북/운영체제(OS): 미포함(프리도스)/용도: 사무/인강용/
화면정보 40.6cm(16인치)/1920x1200(WUXGA)/300nit/
CPU AMD/라이젠5(Zen3)/7530U (2.0Hz)/헥사(6)코어/
램 DDR4(온보드)/램 용량: 16GB/3200MHz/램 교체: 불가능/
그래픽 내장그래픽/Radeon Graphics/
저장장치 M.2(NVMe)/256GB/저장 슬롯: 1개/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/
영상입출력 HDMI/DP Alt Mode/웹캠(HD)/
단자 USB-C: 1개/USB-A: 2개/SD카드/
파워 배터리: 47Wh/어댑터: 65W/전원: USB-PD(+DC)/최대12시간/
주요제원 두께: 16.9mm/무게: 1.77kg/색상: 그레이","502,000"
레노버 V15 Gen4 IRU 83A100HJKR,"노트북/운영체제(OS): 미포함(프리도스)/용도: 사무/인강용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/300nit/
CPU 인텔/코어i5-13세대/i5-13420H (2.1GHz)/옥타코어(4P+4E)/
램 DDR4/램 용량: 8GB/3200MHz/램 교체: 가능(1슬롯)/
그래픽 내장그래픽/UHD Graphics/
저장장치 M.2(NVMe)/256GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/유선랜: 기가비트/
영상입출력 HDMI/DP Alt Mode/웹캠(HD)/
단자 USB-C: 1개/USB-A: 2개/
파워 배터리: 38Wh/전원: USB-PD(+DC)/
주요제원 두께: 19.9mm/무게: 1.65kg/색상: 그레이","593,000"
레노버 LOQ 15ARP9 R7 4060,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/300nit/주사율: 144Hz/
CPU AMD/라이젠7(Zen3+)/7435HS (3.1Hz)/옥타(8)코어/
램 DDR5/램 용량: 12GB/4800MHz/
그래픽 외장그래픽/RTX4060/TGP: 105W/VRAM:8GB/
저장장치 M.2(NVMe)/512GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠(HD)/
단자 USB-C: 1개/USB-A: 3개/
파워 배터리: 60Wh/전원: USB-PD/
주요제원 두께: 23.9mm/무게: 2.38kg/쿨링팬: 2개/색상: 그레이","1,158,000"
레노버 요가 Slim 7i 15ILL9 Aura Edition,"AI 노트북/운영체제(OS): 윈도우11홈/용도: 사무/인강용/
화면정보 38.9cm(15.3인치)/2880x1800(WQXGA+)/500nit/주사율: 120Hz/
CPU 인텔/코어 울트라7(S2)/258V (4.8GHz)/옥타코어(4P+4E)/
NPU 인텔 AI Boost/47TOPS/
램 LPDDR5x(온보드)/램 용량: 32GB/8533MHz/램 교체: 불가능/
그래픽 내장그래픽/Arc 140V/8core/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 1개/
네트워크 무선랜: 802.11be(Wi-Fi 7)/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 2개(USB-C겸용)/USB-A: 1개/
파워 배터리: 70Wh/어댑터: 65W/전원: USB-PD/최대22시간/
주요제원 두께: 13.9mm/무게: 1.53kg/쿨링팬: 2개/색상: 그레이","2,199,000"
레노버 씽크북 14IML G7 ULT5 3K W11,"AI 노트북/운영체제(OS): 윈도우11홈/용도: 사무/인강용, 휴대용/
화면정보 35.5cm(14인치)/2880x1800(WQXGA+)/400nit/주사율: 120Hz/
CPU 인텔/코어 울트라5/125H (4.5GHz)/14코어(4P+8E+2LE)/
NPU 인텔 AI Boost/11TOPS/
램 DDR5/램 용량: 16GB/5600MHz/램 교체: 가능/
그래픽 내장그래픽/Arc/7core/
저장장치 M.2(NVMe)/512GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 기가비트/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-C: 1개/USB-A: 2개/SD카드/
파워 배터리: 60Wh/전원: USB-PD/
주요제원 두께: 16.9mm/무게: 1.38kg/색상: 그레이","1,148,000"
