name,content,price
LG전자 그램 프로16 16Z90SP-KAOWK,"AI 노트북/운영체제(OS): 윈도우11홈/용도: 사무/인강용, 휴대용/
화면정보 40.6cm(16인치)/2880x1800(WQXGA+)/400nit/주사율: 120Hz/
CPU 인텔/코어 울트라5/125H (4.5GHz)/14코어(4P+8E+2LE)/
NPU 인텔 AI Boost/11TOPS/
램 LPDDR5x(온보드)/램 용량: 16GB/7467MHz/램 교체: 불가능/
그래픽 내장그래픽/Arc/7core/
저장장치 M.2(NVMe)/512GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 2개(USB-C겸용)/USB-A: 2개/
파워 배터리: 77Wh/어댑터: 65W/전원: USB-PD/
주요제원 두께: 12.8mm/무게: 1.199kg/쿨링팬: 2개/색상: 화이트","1,654,010"
LG전자 2024 그램15 15ZD90S-GX56K,"AI 노트북/운영체제(OS): 미포함(프리도스)/용도: 사무/인강용, 휴대용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/350nit/
CPU 인텔/코어 울트라5/125H (4.5GHz)/14코어(4P+8E+2LE)/
NPU 인텔 AI Boost/11TOPS/
램 LPDDR5x(온보드)/램 용량: 16GB/6400MHz/램 교체: 불가능/
그래픽 내장그래픽/Arc/7core/
저장장치 M.2(NVMe)/256GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-C: 1개/USB-A: 2개/
파워 배터리: 72Wh/어댑터: 65W/전원: USB-PD/
주요제원 두께: 17mm/무게: 1.3kg/색상: 화이트","1,224,710"
LG전자 2024 그램15 15Z90S-GA5PK,"AI 노트북/운영체제(OS): 윈도우11홈/용도: 사무/인강용, 휴대용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/350nit/
CPU 인텔/코어 울트라5/125H (4.5GHz)/14코어(4P+8E+2LE)/
NPU 인텔 AI Boost/11TOPS/
램 LPDDR5x(온보드)/램 용량: 16GB/6400MHz/램 교체: 불가능/
그래픽 내장그래픽/Arc/7core/
저장장치 M.2(NVMe)/256GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-C: 1개/USB-A: 2개/
파워 배터리: 72Wh/어댑터: 65W/전원: USB-PD/
주요제원 두께: 16.9mm/무게: 1.29kg/색상: 화이트","1,284,920"
LG전자 2023 그램15 15Z90R-GA56K,"노트북/운영체제(OS): 윈도우11홈/용도: 사무/인강용, 휴대용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/350nit/
CPU 인텔/코어i5-13세대/i5-1340P (1.9GHz)/12코어(4P+8E)/
램 LPDDR5(온보드)/램 용량: 16GB/6000MHz/램 교체: 불가능/
그래픽 내장그래픽/Iris Xe/
저장장치 M.2(NVMe)/256GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 2개(USB-C겸용)/USB-A: 2개/MicroSD카드/
파워 배터리: 80Wh/어댑터: 65W/전원: USB-PD/
주요제원 두께: 17.4mm/무게: 1.14kg/색상: 화이트","1,098,990"
LG전자 2024 그램14 14ZD90S-GX56K,"AI 노트북/운영체제(OS): 미포함(프리도스)/용도: 사무/인강용, 휴대용/
화면정보 35.5cm(14인치)/1920x1200(WUXGA)/350nit/
CPU 인텔/코어 울트라5/125H (4.5GHz)/14코어(4P+8E+2LE)/
NPU 인텔 AI Boost/11TOPS/
램 LPDDR5x(온보드)/램 용량: 16GB/6400MHz/램 교체: 불가능/
그래픽 내장그래픽/Arc/7core/
저장장치 M.2(NVMe)/256GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-C: 1개/USB-A: 2개/
파워 배터리: 72Wh/어댑터: 65W/전원: USB-PD/
주요제원 두께: 16.9mm/무게: 1.12kg/색상: 화이트","1,139,300"
LG전자 2023 울트라PC 15UD50R-GX56K WIN11 16GB램,"노트북/운영체제(OS): 윈도우11(설치)/용도: 사무/인강용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/
CPU 인텔/코어i5-13세대/i5-1335U (1.3GHz)/10코어(2P+8E)/
램 DDR4/램 용량: 16GB/3200MHz/램 교체: 가능/
그래픽 내장그래픽/Iris Xe/
저장장치 M.2(NVMe)/256GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/유선랜: 기가비트/
영상입출력 HDMI/웹캠(HD)/
단자 USB-C: 1개/USB-A: 2개/MicroSD카드/
파워 배터리: 49Wh/어댑터: 65W/전원: DC/
주요제원 두께: 19.6mm/무게: 1.8kg/색상: 화이트","673,700"
LG전자 그램 프로16 16Z90SP-GA5CK,"AI 노트북/운영체제(OS): 윈도우11홈/용도: 사무/인강용, 휴대용/
화면정보 40.6cm(16인치)/2560x1600(WQXGA)/400nit/주사율: 144Hz/
CPU 인텔/코어 울트라5/125H (4.5GHz)/14코어(4P+8E+2LE)/
NPU 인텔 AI Boost/11TOPS/
램 LPDDR5x(온보드)/램 용량: 16GB/7467MHz/램 교체: 불가능/
그래픽 내장그래픽/Arc/7core/
저장장치 M.2(NVMe)/256GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 2개(USB-C겸용)/USB-A: 2개/
파워 배터리: 77Wh/어댑터: 65W/전원: USB-PD/
주요제원 두께: 12.8mm/무게: 1.199kg/쿨링팬: 2개/색상: 화이트","1,469,950"
LG전자 그램 프로16 16Z90SP-ED7BK,"AI 노트북/운영체제(OS): 윈도우11홈/용도: 그래픽작업용, 휴대용/
화면정보 40.6cm(16인치)/2560x1600(WQXGA)/400nit/주사율: 144Hz/
CPU 인텔/코어 울트라7/155H (4.8GHz)/16코어(6P+8E+2LE)/
NPU 인텔 AI Boost/11TOPS/
램 LPDDR5x(온보드)/램 용량: 32GB/7467MHz/램 교체: 불가능/
그래픽 외장그래픽/RTX3050/TGP: 45W/VRAM:4GB/
저장장치 M.2(NVMe)/512GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 2개(USB-C겸용)/USB-A: 2개/
파워 배터리: 90Wh/어댑터: 90W/전원: USB-PD/
주요제원 두께: 14.4mm/무게: 1.279kg/쿨링팬: 2개/색상: 블랙","2,217,260"
LG전자 그램 프로17 17Z90SP-EA5CK,"AI 노트북/운영체제(OS): 윈도우11홈/용도: 그래픽작업용, 휴대용/
화면정보 43.1cm(17인치)/2560x1600(WQXGA)/400nit/주사율: 144Hz/
CPU 인텔/코어 울트라5/125H (4.5GHz)/14코어(4P+8E+2LE)/
NPU 인텔 AI Boost/11TOPS/
램 LPDDR5x(온보드)/램 용량: 16GB/7467MHz/램 교체: 불가능/
그래픽 외장그래픽/RTX3050/TGP: 45W/VRAM:4GB/
저장장치 M.2(NVMe)/256GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 2개(USB-C겸용)/USB-A: 2개/
파워 배터리: 90Wh/어댑터: 90W/전원: USB-PD/
주요제원 두께: 14.6mm/무게: 1.379kg/쿨링팬: 2개/색상: 화이트","1,780,940"
LG전자 2023 울트라PC 15U40R-GR30K,"노트북/운영체제(OS): 윈도우11홈/용도: 사무/인강용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/
CPU AMD/라이젠3(Zen3)/7330U (2.3Hz)/쿼드(4)코어/
램 DDR4/램 용량: 8GB/3200MHz/램 교체: 가능/
그래픽 내장그래픽/Radeon Graphics/
저장장치 M.2(NVMe)/256GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/유선랜: 기가비트/
영상입출력 HDMI/웹캠(HD)/
단자 USB-C: 1개/USB-A: 2개/MicroSD카드/
파워 배터리: 49Wh/어댑터: 65W/전원: DC/
주요제원 두께: 19.1mm/무게: 1.75kg/색상: 화이트","567,840"
