name,content,price
삼성전자 갤럭시북4 프로 NT940XGK-KC51G,"AI 노트북/운영체제(OS): 윈도우11홈/용도: 사무/인강용, 휴대용/
화면정보 35.6cm(14인치)/2880x1800(WQXGA+)/400nit/주사율: 120Hz/
CPU 인텔/코어 울트라5/125H (4.5GHz)/14코어(4P+8E+2LE)/
NPU 인텔 AI Boost/11TOPS/
램 LPDDR5x(온보드)/램 용량: 16GB/램 교체: 불가능/
그래픽 내장그래픽/Arc/7core/
저장장치 M.2(NVMe)/512GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 2개(USB-C겸용)/USB-A: 1개/MicroSD카드/
파워 배터리: 63Wh/어댑터: 65W/전원: USB-PD/
주요제원 두께: 11.6mm/무게: 1.23kg/색상: 그레이","1,347,230"
삼성전자 갤럭시북4 NT750XGR-A51A WIN11,"노트북/운영체제(OS): 윈도우11(설치)/용도: 사무/인강용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/
CPU 인텔/코어i5-13세대/i5-1335U (1.3GHz)/10코어(2P+8E)/
램 LPDDR4x(온보드)/램 용량: 16GB/램 교체: 불가능/
그래픽 내장그래픽/Iris Xe/
저장장치 M.2(NVMe)/256GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/
영상입출력 HDMI/웹캠(HD)/
단자 USB-C: 2개/USB-A: 2개/MicroSD카드/
파워 배터리: 54Wh/어댑터: 45W/전원: USB-PD/
주요제원 두께: 15.4mm/무게: 1.55kg/색상: 그레이","786,000"
삼성전자 갤럭시북2 NT550XEZ-A58A,"노트북/운영체제(OS): 미포함(프리도스)/용도: 사무/인강용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/
CPU 인텔/코어i5-12세대/i5-1235U (1.3GHz)/10코어(2P+8E)/
램 DDR4/램 용량: 8GB/램 교체: 가능/
그래픽 내장그래픽/UHD Graphics/
저장장치 M.2(NVMe)/256GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/유선랜: 기가비트/
영상입출력 HDMI/DP Alt Mode/웹캠(HD)/
단자 USB-C: 2개/USB-A: 2개/MicroSD카드/
파워 배터리: 43Wh/어댑터: 45W/전원: USB-PD/
주요제원 두께: 18.5mm/무게: 1.8kg/색상: 실버, 그라파이트","523,990"
삼성전자 갤럭시북4 NT750XGR-A71A,"노트북/운영체제(OS): 미포함(프리도스)/용도: 사무/인강용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/
CPU 인텔/코어i7-13세대/i7-1355U (1.7GHz)/10코어(2P+8E)/
램 LPDDR4x(온보드)/램 용량: 16GB/램 교체: 불가능/
그래픽 내장그래픽/Iris Xe/
저장장치 M.2(NVMe)/512GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/
영상입출력 HDMI/웹캠(HD)/
단자 USB-C: 2개/USB-A: 2개/MicroSD카드/
파워 배터리: 54Wh/어댑터: 45W/전원: USB-PD/
주요제원 두께: 15.4mm/무게: 1.55kg/색상: 실버, 그레이","915,920"
삼성전자 갤럭시북4 NT750XGR-A51A,"노트북/운영체제(OS): 미포함(프리도스)/용도: 사무/인강용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/
CPU 인텔/코어i5-13세대/i5-1335U (1.3GHz)/10코어(2P+8E)/
램 LPDDR4x(온보드)/램 용량: 16GB/램 교체: 불가능/
그래픽 내장그래픽/Iris Xe/
저장장치 M.2(NVMe)/256GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/
영상입출력 HDMI/웹캠(HD)/
단자 USB-C: 2개/USB-A: 2개/MicroSD카드/
파워 배터리: 54Wh/어댑터: 45W/전원: USB-PD/
주요제원 두께: 15.4mm/무게: 1.55kg/색상: 실버, 그레이","741,930"
삼성전자 갤럭시북4 NT750XGR-A38A,"노트북/운영체제(OS): 미포함(프리도스)/용도: 사무/인강용/
화면정보 39.6cm(15.6인치)/1920x1080(FHD)/
CPU 인텔/코어i3-13세대/i3-1315U (1.2GHz)/헥사코어(2P+4E)/
램 LPDDR4x(온보드)/램 용량: 8GB/램 교체: 불가능/
그래픽 내장그래픽/UHD Graphics/
저장장치 M.2(NVMe)/256GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/
영상입출력 HDMI/웹캠(HD)/
단자 USB-C: 2개/USB-A: 2개/MicroSD카드/
파워 배터리: 54Wh/어댑터: 45W/전원: USB-PD/
주요제원 두께: 15.4mm/무게: 1.55kg/색상: 실버","538,660"
삼성전자 갤럭시북4 프로 NT960XGQ-A52A WIN11,"AI 노트북/운영체제(OS): 윈도우11(설치)/용도: 사무/인강용/
화면정보 40.6cm(16인치)/2880x1800(WQXGA+)/400nit/주사율: 120Hz/
CPU 인텔/코어 울트라5/125H (4.5GHz)/14코어(4P+8E+2LE)/
NPU 인텔 AI Boost/11TOPS/
램 LPDDR5x(온보드)/램 용량: 32GB/램 교체: 불가능/
그래픽 내장그래픽/Arc/7core/
저장장치 M.2(NVMe)/256GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠/
단자 썬더볼트4: 2개(USB-C겸용)/USB-A: 1개/MicroSD카드/
파워 배터리: 76Wh/어댑터: 65W/전원: USB-PD/
주요제원 두께: 11.6mm/무게: 1.56kg/색상: 그레이","1,607,000"
삼성전자 갤럭시북3 울트라 NT960XFH-X92A,"노트북/운영체제(OS): 윈도우11홈/용도: 게임용, 그래픽작업용/
화면정보 40.6cm(16인치)/2880x1800(WQXGA+)/주사율: 120Hz/
CPU 인텔/코어i9-13세대/i9-13900H (2.6GHz)/14코어(6P+8E)/
램 LPDDR5(온보드)/램 용량: 32GB/램 교체: 불가능/
그래픽 외장그래픽/RTX4070/TGP: 60W/VRAM:8GB/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI 2.0/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 2개(USB-C겸용)/USB-A: 1개/MicroSD카드/
파워 배터리: 76Wh/어댑터: 100W/전원: USB-PD/최대17시간/
주요제원 두께: 16.5mm/무게: 1.79kg/색상: 그라파이트","2,740,000"
삼성전자 갤럭시북4 프로 NT960XGK-K71A,"AI 노트북/운영체제(OS): 윈도우11홈/용도: 사무/인강용/
화면정보 40.6cm(16인치)/2880x1800(WQXGA+)/400nit/주사율: 120Hz/
CPU 인텔/코어 울트라7/155H (4.8GHz)/16코어(6P+8E+2LE)/
NPU 인텔 AI Boost/11TOPS/
램 LPDDR5x(온보드)/램 용량: 16GB/램 교체: 불가능/
그래픽 내장그래픽/Arc/8core/
저장장치 M.2(NVMe)/512GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠/
단자 썬더볼트4: 2개(USB-C겸용)/USB-A: 1개/MicroSD카드/
파워 배터리: 76Wh/어댑터: 65W/전원: USB-PD/
주요제원 두께: 12.5mm/무게: 1.56kg/색상: 그레이","1,881,000"
삼성전자 갤럭시북4 프로 NT960XGQ-A51A,"AI 노트북/운영체제(OS): 미포함(프리도스)/용도: 사무/인강용/
화면정보 40.6cm(16인치)/2880x1800(WQXGA+)/400nit/주사율: 120Hz/
CPU 인텔/코어 울트라5/125H (4.5GHz)/14코어(4P+8E+2LE)/
NPU 인텔 AI Boost/11TOPS/
램 LPDDR5x(온보드)/램 용량: 16GB/램 교체: 불가능/
그래픽 내장그래픽/Arc/7core/
저장장치 M.2(NVMe)/256GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠/
단자 썬더볼트4: 2개(USB-C겸용)/USB-A: 1개/MicroSD카드/
파워 배터리: 76Wh/어댑터: 65W/전원: USB-PD/
주요제원 두께: 11.6mm/무게: 1.56kg/색상: 그레이","1,338,990"
